% Model:              E_field_model_symetry_allel.mph
% Version:            COMSOL 5.4.0.388
% Date:               Mar 5 2020, 20:47
% Dimension:          1
% Nodes:              50000
% Expressions:        2
% Description:        z-coordinate, Electric field, z component
% cln1x                   z (mm)                   Term4.Ez (V/m)
0.03012                   -1.9698800000000007      -0.21994511771961456
0.0302                    -1.9698000000000007      -0.2199379153474865
0.03028                   -1.9697200000000004      -0.21993070529625522
0.03036                   -1.9696400000000007      -0.21992348756592106
0.03044                   -1.96956                 -0.2199162621564837
0.03052                   -1.9694800000000001      -0.2199090290679433
0.0306                    -1.9694                  -0.2199017883002999
0.03068                   -1.969320000000001       -0.21986167186816713
0.03076                   -1.96924                 -0.2198547251819366
0.03084                   -1.9691599999999998      -0.21984777486658916
0.03092                   -1.9690800000000002      -0.21984082092212484
0.031                     -1.9690000000000012      -0.21983386334854374
0.03108                   -1.9689199999999993      -0.21982690214584538
0.03116                   -1.9688400000000004      -0.21981993731403043
0.03124                   -1.96876                 -0.2198129688530984
0.03132                   -1.9686799999999995      -0.21980599676304952
0.0314                    -1.9685999999999988      -0.21979902104388363
0.03148                   -1.9685199999999987      -0.21979204169560088
0.03156                   -1.9684399999999997      -0.21978505871820134
0.03164                   -1.968360000000001       -0.21977807211168496
0.03172                   -1.9682800000000003      -0.2197710818760514
0.0318                    -1.9681999999999997      -0.219764088011301
0.03188                   -1.9681200000000016      -0.21975709051743386
0.03196                   -1.9680399999999998      -0.2197500893944495
0.03204                   -1.9679600000000004      -0.21974308464234849
0.03212                   -1.96788                 -0.2197360762611304
0.0322                    -1.9678                  -0.21972906425079547
0.03228                   -1.9677200000000001      -0.21972204861134365
0.03236                   -1.9676399999999983      -0.21971502934277473
0.03244                   -1.9675599999999998      -0.2197080064450892
0.03252                   -1.9674799999999997      -0.21970097991828658
0.0326                    -1.9674000000000003      -0.2196939497623671
0.03268                   -1.9673200000000002      -0.2196869159773307
0.03276                   -1.9672400000000003      -0.21967987856317736
0.03284                   -1.96716                 -0.2196728375199071
0.03292                   -1.96708                 -0.21966579284751997
0.033                     -1.9669999999999992      -0.2196587445460158
0.03308                   -1.9669199999999991      -0.21965169261539486
0.03316                   -1.9668400000000001      -0.219644637055657
0.03324                   -1.9667600000000005      -0.21963757786680227
0.03332                   -1.9666800000000002      -0.21963051504883052
0.0334                    -1.9665999999999988      -0.21962344860174177
0.03348                   -1.966520000000002       -0.2196163785255365
0.03356                   -1.9664400000000002      -0.2196093048202139
0.03364                   -1.9663599999999999      -0.2196022274857745
0.03372                   -1.9662800000000011      -0.21959514652221826
0.0338                    -1.9661999999999995      -0.21958806192954491
0.03388                   -1.96612                 -0.21958097370775487
0.03396                   -1.9660400000000005      -0.2195738818568479
0.03404                   -1.965960000000001       -0.219566786376824
0.03412                   -1.9658800000000005      -0.2195596872676831
0.0342                    -1.9658000000000007      -0.21962675977639107
0.03428                   -1.9657200000000001      -0.21961977739420502
0.03436                   -1.9656399999999998      -0.21961278962747138
0.03444                   -1.96556                 -0.21960579647619013
0.03452                   -1.9654799999999994      -0.21959879794036122
0.0346                    -1.9653999999999996      -0.21959179401998463
