#PicoHarp 300  Histogram Data			09.05.2020 18:30:32
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0,2560	0,2560	0,2560	
#counts
7219	6331	13092	
7167	6421	13265	
7279	6229	13370	
7239	6308	13139	
7287	6360	13226	
7295	6412	13273	
7274	6321	13447	
7295	6380	13157	
7437	6370	13361	
7334	6176	13287	
7359	6257	13278	
7195	6133	13169	
7229	6327	13084	
7079	6271	13162	
7279	6403	13232	
7269	6353	13183	
7374	6507	13276	
7209	6248	13517	
7484	6387	12951	
7267	6264	12929	
7252	6283	13024	
7243	6119	13122	
7336	6253	13151	
7345	6385	13354	
7272	6317	13282	
7209	6181	13095	
7107	6259	12924	
7108	6348	12958	
7302	6244	12922	
7228	6281	13110	
7316	6114	12755	
7301	6091	12742	
7177	6102	13107	
7263	6125	13236	
7210	6219	12881	
7145	6231	12987	
7324	6230	12702	
7205	6069	13171	
7250	6211	12933	
7223	6171	12874	
7156	6297	12952	
7258	6230	12995	
7149	6165	13035	
7054	6189	12804	
7139	6083	12911	
7259	6279	12850	
7189	6251	13029	
7286	6146	12892	
7275	6176	12890	
7214	6114	12863	
7169	6107	12815	
7203	6235	12775	
7370	6107	13017	
7314	6023	12893	
7142	6075	12801	
7260	6178	12941	
7181	6195	12771	
7203	6224	12996	
7203	6262	13202	
7329	6101	13036	
7278	6177	12986	
7148	6217	13268	
7198	6047	12885	
7155	6247	12982	
7233	6159	12984	
7224	6114	12968	
7294	6303	13202	
7280	6255	13308	
7294	6207	13090	
7295	6280	13059	
7158	6157	13139	
7150	6165	13197	
7266	6258	13008	
7114	6340	13205	
7259	6405	13135	
7215	6402	13177	
7131	6283	13291	
7297	6487	13442	
7318	6214	13321	
7150	6297	13075	
7283	6306	13217	
7215	6366	13264	
7273	6284	13137	
7137	6390	13223	
7244	6403	13429	
7263	6421	13145	
7242	6358	13383	
7230	6443	13433	
7320	6413	13430	
7261	6373	13560	
7265	6482	13481	
7302	6524	13263	
7280	6412	13524	
7403	6268	13316	
7344	6491	13442	
7442	6390	13535	
7445	6506	13304	
7243	6396	13463	
7289	6363	13241	
7410	6487	13482	
7400	6530	13683	
7222	6503	13441	
7258	6428	13471	
7397	6396	13669	
7267	6468	13328	
7252	6475	13627	
7241	6375	13697	
7318	6462	13565	
7353	6376	13547	
7356	6477	13423	
7294	6435	13610	
7309	6511	13557	
7337	6488	13725	
7318	6484	13549	
7528	6486	13599	
7380	6354	13662	
7221	6393	13454	
7348	6585	13729	
7226	6513	13587	
7367	6399	13582	
7421	6522	13541	
7338	6503	13640	
7486	6534	13429	
7289	6484	13479	
7327	6408	13277	
7378	6448	13464	
7414	6432	13284	
7355	6676	13652	
7232	6281	13529	
7232	6535	13517	
363	305	623	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
