1700	1970	
1837	2008	
1865	1996	
1912	2072	
1852	2099	
1992	1972	
1918	2083	
1971	2009	
1879	2101	
2018	2145	
2011	2073	
2101	2145	
2039	2088	
2084	2167	
2114	2085	
2098	2158	
2088	2090	
2171	2184	
2145	2071	
2320	2211	
2289	2312	
2338	2194	
2233	2208	
2252	2243	
2209	2221	
2384	2213	
2458	2228	
2345	2319	
2422	2331	
2353	2309	
2514	2327	
2480	2292	
2417	2327	
2489	2362	
2498	2394	
2514	2367	
2534	2238	
2643	2323	
2687	2337	
2541	2444	
2713	2330	
2644	2399	
2666	2351	
2690	2371	
2615	2318	
2696	2375	
2774	2338	
2705	2299	
2736	2368	
2743	2352	
2701	2406	
2741	2372	
2806	2416	
2763	2467	
2707	2329	
2737	2342	
2712	2397	
2794	2383	
2751	2352	
2761	2326	
2677	2371	
2709	2348	
2647	2285	
2553	2354	
2601	2234	
2529	2362	
2598	2303	
2566	2246	
2411	2281	
2453	2226	
2491	2261	
2381	2232	
2416	2128	
2319	2148	
2295	2113	
2332	2162	
2100	2180	
2215	2092	
2135	2140	
2192	2142	
2064	2141	
1968	2042	
1995	2121	
2057	2173	
2023	2045	
1942	1966	
1948	2027	
1794	1941	
1895	2059	
1818	1966	
1821	1902	
1661	1949	
1708	1947	
1692	2005	
1692	1955	
1662	1906	
1631	1914	
1644	1977	
1613	1880	
1549	1912	
1611	1855	
1492	1867	
1540	1999	
1519	1883	
1555	1857	
1530	1875	
1542	1883	
1610	1904	
1538	1865	
1598	1875	
1501	1886	
1584	1877	
1499	1919	
1514	1904	
1599	1895	
1586	1964	
1611	1963	
1549	1885	
1542	1861	
1642	1913	
1656	1890	
1635	1937	
1620	1950	
1723	1928	
1618	1921	
1641	1954	
1782	1886	
1688	1982	
1812	1975	
1760	1972	
49	51	
0	0	
