#PicoHarp 300  Histogram Data			24.05.2020 14:09:15
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0,2560	0,2560	0,2560	
#counts
8928	9610	39917	
8993	9665	40396	
9084	9709	40638	
8826	9746	40421	
9028	9878	41011	
8881	9911	40499	
8818	9912	40335	
8924	9618	40393	
8904	9764	40512	
9071	9908	41330	
9099	9891	41188	
8919	9956	40655	
8936	9835	40187	
8828	9824	40310	
8864	9880	40715	
9009	9916	40961	
8958	9942	40383	
8959	9762	40078	
8759	9758	40184	
8923	9802	40486	
8871	9851	40565	
9059	9856	40989	
9168	9853	40796	
8931	9684	40349	
8893	9601	40364	
8930	10007	40165	
8894	9902	40746	
8968	9829	40519	
8891	9863	40404	
8873	9793	40381	
8956	9727	40419	
8811	9681	40303	
8859	9939	40564	
9102	9950	40601	
8859	9844	40070	
8830	9796	40071	
9015	9676	39982	
9007	9872	40465	
9017	10108	40634	
8957	9978	40751	
8787	9852	40884	
8996	9814	40326	
8920	9890	40242	
8912	9979	40335	
8990	9913	40628	
8858	9984	40602	
8817	10022	40265	
8858	9907	40286	
8946	9885	40681	
8887	9923	40140	
8986	9958	40309	
9003	9791	41054	
8938	9994	40772	
8788	9936	40283	
8971	9896	40683	
8647	9916	40603	
8962	9824	40585	
9006	9995	40416	
8889	9944	40178	
8866	9925	40525	
8818	9823	40677	
8838	9990	40241	
8765	9901	40341	
8897	9927	40464	
8785	9945	40614	
8820	10116	40562	
8864	9905	40933	
8948	9860	40374	
8820	9982	40193	
8967	9777	40385	
8864	9955	40727	
8977	9780	40596	
8807	9952	40589	
8816	9929	40533	
8824	9962	40027	
8781	9801	40235	
8996	9879	40620	
9087	10051	40787	
8855	9901	40622	
9009	9882	40089	
8865	9747	40316	
8759	9890	40871	
9148	9733	41007	
8988	9730	40950	
9126	9770	40756	
8978	9802	40291	
8926	9707	39992	
8916	9826	40609	
8938	9832	40534	
8971	9889	40666	
8948	9649	40349	
9007	9766	40315	
8890	9764	40792	
9060	9944	40420	
8924	9968	40394	
8961	9636	40851	
8929	9645	40613	
9039	9766	40491	
8848	9914	40531	
9038	9911	40556	
9195	9940	40731	
9049	9897	40791	
9147	9810	40341	
8960	9818	40910	
8871	9864	40268	
9061	9722	40744	
9059	9576	41085	
9114	9826	41159	
8903	9697	41062	
8964	9756	40676	
8915	9627	40587	
8952	9693	40791	
9166	9738	40571	
8858	9725	40756	
8996	9803	41187	
8948	9821	41033	
9114	9677	40765	
8961	9709	40359	
9179	9666	40670	
8897	9845	40717	
9133	9993	40627	
8936	9752	40768	
9089	9671	40374	
9066	9739	40454	
9081	9835	40623	
8955	9858	40383	
9029	9764	40751	
9100	9769	40313	
9042	9838	40696	
9157	9770	40846	
252	250	1113	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
