2205	2130	
2162	2079	
2188	2015	
2185	2045	
2199	2033	
2205	2023	
2120	2050	
2153	1963	
2207	2011	
2194	2004	
2171	1973	
2174	1940	
2118	1906	
2188	1937	
2119	1990	
2100	1894	
2157	1844	
2197	1873	
2120	1934	
2081	1912	
2141	1895	
2062	1822	
2111	1874	
2113	1871	
2097	1822	
2015	1837	
2091	1860	
2080	1803	
2069	1858	
2080	1819	
2067	1814	
2103	1832	
2048	1770	
2133	1819	
2143	1865	
2070	1818	
2080	1773	
2074	1764	
2135	1778	
2074	1809	
2030	1726	
2059	1826	
2065	1802	
2049	1774	
2070	1734	
2080	1778	
2090	1852	
2007	1790	
2027	1823	
2025	1760	
1976	1757	
2127	1780	
2091	1716	
2162	1730	
2128	1817	
2052	1861	
2041	1769	
2162	1803	
2072	1825	
2054	1820	
2019	1815	
1965	1889	
2064	1860	
2129	1858	
2058	1809	
2060	1867	
2101	1802	
2121	1890	
2116	1821	
2083	1892	
2107	1881	
2049	1921	
2133	1881	
2099	1858	
2179	1934	
2094	1921	
2083	2017	
2125	1827	
2170	2007	
2153	1971	
2151	2023	
2191	1942	
2133	2010	
2075	1962	
2178	2084	
2180	1959	
2156	2058	
2151	2014	
2161	2041	
2186	1962	
2220	2059	
2150	2006	
2168	2014	
2211	2061	
2219	2104	
2268	2057	
2188	2094	
2273	2073	
2202	2025	
2213	2110	
2284	2088	
2198	2101	
2219	2189	
2245	2121	
2203	2151	
2318	2114	
2176	2114	
2190	2055	
2189	2121	
2296	2062	
2221	2059	
2365	2101	
2150	2167	
2339	2099	
2215	2101	
2288	1979	
2247	2184	
2302	2140	
2132	2166	
2218	2087	
2275	2124	
2205	2096	
2219	2133	
2251	2024	
2269	2138	
2206	2053	
2261	2052	
2262	2059	
2207	2047	
2158	2098	
100	121	
0	0	
