#PicoHarp 300  Histogram Data			10.05.2020 10:30:45
#channels per curve
65536
#display curve no.
0	1	2	
#memory block no.
0	1	2	
#ns/channel
0,2560	0,2560	0,2560	
#counts
1824	1928	1808	
1861	1964	1785	
1819	1954	1896	
1816	1996	1908	
1825	1965	1923	
1892	1901	1903	
1827	2012	1971	
1895	2057	1966	
1934	1985	1972	
1904	2058	1955	
1930	2004	1976	
1864	1997	2010	
1822	1996	2040	
1964	1989	2077	
1974	1976	2020	
1933	2050	2017	
1876	2106	2099	
1874	2077	2118	
1838	2034	2056	
1911	2015	2175	
1838	2094	2116	
1887	2068	2165	
1888	2077	2191	
1929	2009	2163	
1934	2149	2152	
1861	2138	2210	
1833	2104	2182	
1942	2197	2241	
1892	2061	2182	
1997	2114	2176	
1922	2181	2258	
1908	2153	2201	
1988	2137	2283	
1917	2099	2222	
1964	2100	2186	
2009	2084	2282	
1968	2068	2241	
1924	2094	2292	
1964	2116	2388	
1857	2116	2243	
1913	2090	2346	
1949	2183	2409	
1963	2026	2350	
1921	2112	2379	
1938	2161	2338	
1988	2166	2272	
1992	2125	2322	
1913	2052	2330	
1918	2104	2313	
1897	2119	2229	
1908	2131	2338	
1947	2158	2382	
1954	2113	2280	
2020	2039	2278	
1942	2102	2312	
1978	2071	2264	
1916	2022	2239	
1942	2175	2263	
1893	2024	2296	
1935	2154	2286	
1892	2131	2235	
1934	2091	2189	
1917	2019	2120	
1957	2089	2135	
2005	2044	2205	
1933	1973	2197	
1887	2052	2134	
1933	1952	2082	
1891	2058	2089	
1843	1969	2071	
1980	2013	1932	
1835	2036	1977	
1894	2049	2031	
1860	1883	2068	
1892	2023	1946	
1814	2016	1937	
1849	1956	1834	
1759	1954	1850	
1865	1944	1911	
1894	1907	1905	
1814	1941	1835	
1783	1920	1885	
1794	1988	1820	
1807	1842	1788	
1773	1913	1805	
1883	1945	1751	
1848	1881	1677	
1810	1874	1717	
1765	1882	1758	
1855	1874	1725	
1831	1844	1672	
1833	1897	1717	
1817	1863	1652	
1782	1951	1662	
1728	1796	1593	
1771	1827	1658	
1803	1822	1602	
1804	1912	1626	
1797	1833	1606	
1807	1835	1675	
1741	1899	1580	
1898	1847	1636	
1803	1870	1591	
1744	1801	1600	
1737	1795	1612	
1780	1839	1623	
1878	1796	1645	
1764	1892	1582	
1809	1875	1608	
1751	1866	1641	
1789	1932	1696	
1852	1885	1601	
1834	1902	1635	
1713	1841	1748	
1780	1835	1662	
1814	1871	1673	
1825	1816	1685	
1792	1831	1757	
1798	1959	1735	
1908	1945	1682	
1823	1901	1685	
1825	1889	1733	
1835	1880	1738	
1729	1959	1699	
1914	1860	1752	
1929	1982	1768	
1860	1932	1816	
1860	1977	1797	
1857	1904	1823	
1933	1903	1821	
91	85	90	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
0	0	0	
