2483	2395	2479	
2507	2383	2376	
2422	2378	2472	
2487	2427	2521	
2485	2423	2492	
2521	2408	2519	
2637	2450	2434	
2439	2390	2520	
2498	2505	2453	
2445	2466	2509	
2427	2448	2466	
2473	2517	2551	
2475	2461	2507	
2493	2476	2498	
2548	2434	2483	
2444	2415	2519	
2516	2454	2563	
2508	2471	2517	
2443	2489	2568	
2511	2376	2525	
2425	2525	2427	
2426	2455	2456	
2492	2489	2563	
2477	2386	2573	
2405	2416	2495	
2457	2325	2525	
2392	2476	2591	
2429	2375	2570	
2464	2417	2571	
2474	2420	2542	
2435	2430	2570	
2441	2335	2607	
2523	2403	2480	
2446	2431	2484	
2370	2398	2615	
2504	2435	2513	
2398	2415	2582	
2469	2491	2500	
2459	2492	2429	
2426	2429	2534	
2487	2402	2515	
2498	2395	2632	
2409	2523	2546	
2435	2509	2515	
2420	2500	2532	
2390	2453	2547	
2423	2461	2666	
2413	2416	2604	
2439	2359	2515	
2515	2427	2584	
2463	2497	2574	
2443	2369	2548	
2439	2361	2590	
2445	2402	2496	
2353	2390	2601	
2365	2437	2522	
2473	2447	2558	
2386	2405	2534	
2453	2436	2527	
2382	2373	2587	
2450	2510	2589	
2342	2358	2517	
2488	2357	2517	
2391	2382	2507	
2415	2406	2521	
2385	2392	2529	
2427	2465	2625	
2452	2384	2545	
2339	2295	2510	
2400	2451	2454	
2393	2362	2517	
2368	2427	2474	
2439	2413	2525	
2393	2475	2538	
2413	2337	2537	
2485	2518	2513	
2397	2411	2481	
2354	2425	2515	
2470	2366	2420	
2415	2370	2462	
2251	2322	2548	
2429	2350	2424	
2349	2415	2500	
2451	2342	2448	
2389	2429	2471	
2268	2440	2483	
2364	2302	2365	
2395	2358	2417	
2409	2322	2402	
2387	2328	2463	
2423	2421	2434	
2354	2515	2450	
2431	2386	2413	
2448	2296	2423	
2447	2407	2380	
2418	2369	2342	
2402	2380	2535	
2452	2318	2373	
2495	2392	2464	
2398	2342	2447	
2420	2335	2338	
2437	2367	2361	
2432	2364	2339	
2463	2423	2379	
2399	2447	2362	
2475	2407	2334	
2516	2409	2446	
2445	2401	2375	
2449	2390	2374	
2414	2309	2391	
2459	2378	2392	
2403	2365	2465	
2469	2383	2330	
2540	2348	2403	
2526	2413	2509	
2461	2417	2378	
2442	2357	2494	
2353	2414	2305	
2427	2348	2503	
2460	2468	2420	
2442	2479	2419	
2489	2425	2326	
2515	2449	2456	
2590	2417	2374	
2424	2426	2426	
2473	2459	2435	
2423	2374	2467	
2441	2396	2524	
2494	2430	2371	
2487	2397	2454	
137	130	118	
0	0	0	
