#PicoHarp 300  Histogram Data			10.05.2020 09:19:12
#channels per curve
65536
#display curve no.
0	1	2	3	
#memory block no.
0	1	2	3	
#ns/channel
0,2560	0,2560	0,2560	0,2560	
#counts
2111	2288	2052	2139	
2098	2176	2113	2116	
2121	2153	2121	2180	
2096	2141	2211	2214	
2077	2249	2129	2114	
1957	2216	2112	2211	
2018	2179	2144	2175	
2038	2160	2172	2263	
2041	2169	2187	2215	
2087	2148	2148	2202	
2133	2095	2074	2179	
2146	2125	2148	2204	
2021	2230	2143	2287	
2020	2104	2117	2274	
2078	2168	2092	2292	
2066	2112	2145	2335	
2002	2162	2223	2299	
2039	2081	2212	2266	
2018	2148	2125	2243	
2049	2052	2115	2308	
2013	2080	2229	2270	
1995	2144	2157	2287	
2041	2135	2196	2319	
2048	2119	2159	2371	
2055	2132	2161	2310	
1986	2059	2143	2329	
1985	2068	2129	2373	
2072	2082	2150	2326	
1970	2076	2114	2497	
2019	2110	2114	2527	
2060	2072	2196	2396	
1947	2108	2125	2444	
2068	2110	2102	2456	
1991	2130	2135	2446	
2070	2131	2124	2480	
1956	2124	2098	2435	
1904	2064	2076	2459	
1970	2077	2042	2387	
1918	2108	2178	2434	
1975	2135	2163	2494	
1974	2110	2100	2440	
1988	2015	2163	2455	
1983	2121	2072	2451	
2010	2119	2117	2424	
1954	2095	2070	2397	
2015	2118	2130	2419	
2023	2102	2181	2463	
2057	2187	2173	2489	
1931	2064	2148	2440	
2034	2033	2193	2447	
1956	2069	2171	2432	
2007	2099	2140	2469	
2019	2109	2106	2354	
1941	2057	2133	2436	
1986	2137	2146	2500	
2023	2114	2095	2319	
1996	2110	2083	2400	
1972	2024	2069	2478	
1999	2177	2170	2360	
1938	2145	2164	2541	
1927	2135	2119	2438	
1997	2096	2097	2362	
1998	2140	2119	2401	
2003	2104	2146	2330	
2035	2161	2139	2375	
2026	2079	2100	2351	
2019	2118	2069	2353	
1954	2133	2091	2347	
2094	2190	2099	2393	
2058	2193	2151	2351	
2050	2101	2164	2311	
2005	2099	2064	2352	
2035	2063	2149	2224	
1951	2119	2175	2190	
2085	2165	2158	2272	
2066	2153	2110	2341	
2056	2156	2030	2221	
2072	2162	2088	2247	
2024	2111	2043	2274	
2094	2092	2211	2271	
2088	2088	2193	2195	
2044	2171	2025	2241	
2081	2179	2120	2152	
2046	2102	2182	2221	
2068	2177	2095	2208	
2089	2216	2024	2095	
2106	2124	2087	2069	
2164	2215	2176	2064	
2114	2190	2093	2131	
2165	2150	2137	2058	
2107	2146	2103	2140	
2090	2215	2162	2114	
2136	2198	2123	2096	
2074	2184	2183	2082	
2107	2172	2103	2043	
2160	2183	2110	2113	
2119	2193	2097	2010	
2112	2174	2091	2090	
2125	2203	2161	2019	
2190	2266	2127	2012	
2188	2154	2160	2141	
2086	2191	2137	2047	
2163	2178	2151	2073	
2202	2194	2164	1985	
2191	2199	1990	2078	
2112	2187	2105	1969	
2093	2212	2114	1964	
2161	2175	2120	1932	
2101	2134	2071	1971	
2143	2211	2108	2096	
2067	2222	2164	2037	
2183	2117	2124	2032	
2154	2190	2123	2000	
2118	2178	2171	2047	
2159	2253	2113	2039	
2154	2191	2059	1951	
2080	2262	2147	2103	
2148	2151	2105	2010	
2189	2213	2089	2117	
2082	2136	2156	2122	
2118	2274	2101	2074	
2182	2266	2096	2146	
2131	2138	2189	2125	
2132	2163	2092	2106	
2188	2143	2168	2092	
2093	2109	2101	2070	
2094	2242	2172	2119	
2244	2161	2184	2112	
2206	2145	2175	2154	
2080	2129	2162	2163	
94	68	92	101	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
0	0	0	0	
