2059	2117	2002	1998	1940	2018	
2104	2026	2078	2107	1963	1980	
2028	2047	2044	1951	2019	2063	
2049	2122	2042	1946	2075	2104	
2023	2218	2047	1992	2058	2047	
1989	2178	1975	1953	1969	2127	
2046	2090	2072	2027	2131	2066	
2103	2123	2132	2113	2031	2140	
2077	2104	2096	1959	2084	2154	
1970	2028	1946	1916	1952	2162	
2012	2081	2101	1996	2081	2100	
2035	2137	2037	1996	2069	2180	
1966	2138	2033	1937	2091	2176	
1925	2079	2180	1947	1988	2221	
1999	2181	2034	2011	2121	2098	
1990	2063	2089	1935	2037	2199	
2047	2124	2105	1994	2115	2172	
1910	2087	2044	2002	2044	2263	
2040	2032	1977	1997	2015	2258	
1984	2161	2094	1991	2006	2257	
1903	2091	2035	2033	2040	2336	
1851	2034	1997	2006	2101	2254	
1914	2086	2084	2137	2086	2284	
1891	2014	2102	2082	2101	2255	
1913	2153	2147	1989	2030	2285	
1913	2155	2101	2089	2101	2318	
1907	2086	2027	2003	2155	2284	
1892	2082	2087	2038	2101	2281	
1978	2190	2035	2074	2117	2344	
1910	2093	2083	2025	2227	2340	
1896	2106	2037	2048	2090	2367	
1891	2086	2047	2053	2160	2306	
1899	2095	2119	2103	2139	2376	
1868	2128	2056	2123	2107	2360	
1869	2148	2077	2061	2170	2482	
1856	2124	2044	2066	2235	2478	
1885	2123	2055	2059	2084	2411	
1890	2042	2033	2130	2082	2338	
1824	2124	2019	2099	2030	2356	
1813	2067	2122	2078	2116	2329	
1870	2101	2087	2035	2068	2337	
1848	2168	2133	2043	2089	2406	
1860	2119	2142	2026	2184	2333	
1876	2122	1994	2078	2085	2431	
1822	2000	2072	2110	2190	2333	
1961	2207	2035	2024	2085	2398	
1881	2123	2175	2072	2146	2340	
1822	2172	2128	2017	2177	2449	
1886	2044	2065	1953	2109	2411	
1792	2151	2103	2069	2117	2484	
1799	2132	2120	2097	2098	2483	
1883	2128	2137	1939	2095	2498	
1858	2065	2175	2100	2159	2414	
1854	2162	2029	1995	2087	2397	
1867	2176	2067	2117	2080	2411	
1860	2096	2059	2043	2051	2440	
1876	2054	2105	2134	2125	2480	
1792	2077	2137	2092	2040	2292	
1926	2142	2039	2078	2094	2371	
1918	2099	2039	1978	2095	2288	
1865	2135	2050	1993	2015	2348	
1907	2105	2023	2036	2026	2380	
1939	2092	2044	1969	2146	2345	
1939	2116	2098	1957	2091	2415	
1888	2140	2128	1946	2050	2311	
1924	2105	2056	1999	2048	2287	
1881	2102	2071	2003	2152	2364	
1881	2125	2058	1979	2094	2262	
1934	2106	2019	2040	2077	2317	
1823	2076	2086	2035	2024	2268	
1954	2142	2117	1856	2002	2229	
1973	2149	2032	1992	2060	2194	
1968	2092	2005	1993	2038	2264	
1958	2089	2048	2098	2065	2193	
1999	2112	2033	2005	2128	2244	
2032	2143	2059	1957	2082	2173	
1978	2141	2095	1933	2025	2240	
2015	2018	2046	2042	2146	2182	
2050	2065	2029	1989	2014	2168	
1936	2095	2007	1924	1997	2082	
2009	2042	2014	1936	1972	2197	
2086	2066	1938	1950	2027	2148	
2058	2060	2043	1935	2037	2121	
1974	2082	1967	1970	2099	2207	
2091	2050	2089	2018	2052	2220	
1979	2095	2055	2052	2024	2147	
2075	2129	2049	2024	2028	2159	
2067	2108	1985	1931	1972	2135	
2020	2107	1990	2043	1999	2077	
2022	2187	1978	1943	2032	2089	
2096	2190	2019	1908	1910	2097	
2029	2067	1957	1973	2009	1955	
2098	2074	2073	1940	2043	1936	
1994	2038	1976	1907	1950	1969	
2006	1997	2081	1982	1961	2020	
2141	2020	1962	1960	1936	1986	
2130	1992	2028	1973	1986	1938	
2036	2148	2034	2031	1974	1947	
2059	2065	1911	1866	2058	1936	
2053	2109	1886	1969	1985	2028	
2100	2046	1989	1939	2010	1965	
2066	2036	2013	1889	1875	1925	
2166	2058	2007	1855	2041	1934	
2190	2150	1928	1915	1966	2000	
2136	2036	2012	1911	1983	1961	
2182	2094	1998	1904	1964	2019	
2100	2120	2038	1956	1992	1974	
2202	2007	1968	1923	1962	1912	
2111	2080	2061	1912	1948	1978	
2152	2132	2089	1913	2016	1922	
2106	2047	1988	1939	1948	1938	
2115	2066	1981	2022	2044	1921	
2169	2089	2108	1963	1998	1919	
2229	2075	1976	1910	2016	1950	
2124	1990	1907	1919	1917	1911	
2228	2067	1896	1917	1955	1951	
2159	2093	2005	1947	2004	1980	
2143	2023	2018	1901	2010	1972	
2127	2139	1938	1831	2052	1909	
2214	2118	1996	1899	2022	1995	
2075	2078	2076	1967	1946	1944	
2135	2066	2010	1965	2092	2076	
2099	2000	2068	1912	2068	1972	
2103	2039	2009	1961	2012	2021	
2147	2097	1961	1979	2018	1954	
2063	1964	1999	1976	1948	2040	
2182	2085	2119	1939	2050	2020	
2057	2085	2045	1911	2023	2084	
2112	2003	2011	1942	2028	2078	
2046	2047	2039	1992	1976	2034	
103	107	102	99	101	84	
0	0	0	0	0	0	
