1724	2093	
1815	2097	
1714	2119	
1783	2088	
1821	2062	
1808	2063	
1747	2061	
1761	2029	
1787	2076	
1875	2076	
1773	1994	
1796	1990	
1822	2004	
1823	1996	
1872	2059	
1772	1920	
1903	2028	
1779	1990	
1925	1864	
1841	1883	
1904	1892	
1986	1845	
1930	1999	
1837	1876	
1873	1941	
1867	1826	
1818	1859	
1987	1820	
1963	1883	
1963	1834	
1826	1851	
1871	1809	
1864	1783	
2023	1734	
1891	1807	
1906	1741	
1903	1761	
1907	1742	
1969	1754	
1892	1753	
1997	1787	
1919	1798	
1921	1768	
2021	1786	
2012	1736	
1984	1771	
1966	1764	
1910	1726	
1982	1725	
1956	1808	
1999	1713	
1978	1761	
1987	1766	
1913	1756	
1916	1708	
1951	1771	
1989	1752	
1963	1777	
1817	1738	
1931	1880	
1921	1758	
1912	1819	
1921	1898	
2002	1871	
1926	1910	
1857	1863	
1897	1813	
1828	1947	
1859	1814	
1885	1839	
1842	1829	
1840	1853	
1839	1856	
1859	1907	
1749	1873	
1893	1874	
1855	1905	
1794	2040	
1868	1990	
1830	1964	
1911	1955	
1773	1931	
1760	2037	
1774	1962	
1791	1998	
1770	1961	
1777	2020	
1718	2016	
1773	2030	
1759	2022	
1771	2062	
1769	2056	
1713	2075	
1768	2063	
1784	2095	
1664	2088	
1767	2077	
1687	2133	
1702	2068	
1753	2186	
1747	2123	
1774	2094	
1703	2142	
1668	2183	
1634	2164	
1738	2169	
1694	2129	
1751	2168	
1722	2102	
1808	2103	
1653	2153	
1719	2208	
1673	2111	
1659	2123	
1753	2098	
1685	2137	
1628	2162	
1773	2039	
1735	2129	
1694	2187	
1734	2147	
1713	2105	
1743	2191	
1687	2137	
1676	2215	
1752	2135	
1702	2062	
1785	2189	
1811	2111	
1743	2086	
49	59	
0	0	
