1957	2039	1701	1675	1657	
1849	2133	1680	1601	1698	
1844	2051	1703	1654	1732	
1927	2114	1649	1635	1729	
1860	2180	1752	1612	1727	
1897	2098	1853	1698	1714	
1953	2235	1777	1779	1762	
1988	2074	1792	1656	1841	
1840	2258	1834	1681	1818	
2018	2234	1838	1729	1770	
1893	2239	1899	1748	1894	
1977	2315	1842	1810	1926	
2020	2287	1900	1678	1845	
2026	2235	1962	1819	1868	
2041	2238	1967	1765	1977	
2069	2249	1918	1828	2009	
2056	2291	1979	1838	1949	
2043	2290	2010	1857	1989	
2022	2348	2024	1862	1986	
2100	2231	2031	1813	1939	
2083	2318	1946	1864	2007	
2067	2326	1930	1866	1946	
2071	2278	2061	1865	2010	
2087	2407	2044	1883	1971	
2105	2265	1976	1809	2010	
2165	2293	1981	1922	2024	
2132	2368	2035	1923	2097	
2131	2429	2043	1997	2149	
2070	2328	2121	1902	2164	
2205	2265	2119	1927	2176	
2117	2414	2070	2005	2198	
2169	2396	2113	1947	2111	
2144	2403	2131	1979	2179	
2175	2287	2112	2023	2217	
2127	2366	2051	2056	2185	
2250	2406	2068	1970	2100	
2106	2374	2128	2014	2155	
2183	2369	2119	2047	2195	
2148	2448	2169	1971	2277	
2234	2366	2138	2072	2261	
2136	2440	2103	2060	2356	
2177	2408	2120	2075	2326	
2214	2454	2151	2073	2452	
2183	2366	2149	2118	2332	
2172	2382	2199	2047	2288	
2185	2324	2088	2133	2326	
2225	2346	2209	2067	2302	
2252	2478	2191	2108	2302	
2124	2355	2208	2158	2440	
2258	2438	2097	2095	2393	
2225	2332	2113	2105	2409	
2171	2468	2153	2200	2393	
2155	2435	2157	2173	2490	
2210	2506	2136	2194	2425	
2257	2447	2114	2151	2402	
2255	2397	2169	2161	2475	
2232	2493	2104	2180	2431	
2235	2437	2201	2105	2433	
2279	2477	2173	2137	2416	
2201	2374	2055	2175	2454	
2222	2452	2119	2184	2349	
2201	2542	2084	2216	2359	
2190	2481	2164	2180	2341	
2121	2389	2062	2195	2364	
2157	2361	2073	2153	2351	
2250	2515	2092	2175	2292	
2157	2437	2084	2148	2343	
2172	2351	2038	2121	2381	
2166	2376	2040	2132	2361	
2113	2482	2068	2164	2319	
2111	2269	2019	2121	2308	
2063	2356	1948	1962	2331	
2047	2318	1925	2090	2270	
2024	2234	1976	2048	2229	
2017	2231	1836	1994	2155	
2079	2256	1872	2030	2190	
2076	2209	1837	2037	2190	
2021	2239	1961	1980	2209	
1945	2124	1811	1938	2149	
2008	2183	1757	1937	2093	
1924	2109	1764	1818	2069	
1808	2142	1787	1877	2047	
1874	2112	1814	1900	2066	
1860	2123	1717	1934	1991	
1821	2073	1677	1784	1931	
1795	2044	1655	1743	1973	
1756	1961	1642	1808	1902	
1774	1921	1643	1765	1955	
1711	1919	1621	1782	1826	
1675	2005	1570	1767	1847	
1679	1867	1576	1734	1840	
1702	1858	1612	1689	1758	
1719	1870	1583	1719	1803	
1645	1799	1427	1605	1797	
1676	1811	1489	1631	1759	
1622	1778	1553	1671	1739	
1637	1830	1487	1720	1725	
1641	1820	1452	1686	1689	
1624	1820	1488	1591	1629	
1565	1739	1388	1650	1658	
1614	1785	1469	1575	1667	
1558	1722	1375	1563	1671	
1565	1770	1452	1562	1589	
1603	1754	1403	1667	1608	
1557	1842	1450	1606	1654	
1589	1820	1444	1545	1662	
1524	1771	1499	1506	1534	
1583	1726	1428	1578	1590	
1605	1778	1444	1551	1528	
1538	1835	1415	1538	1547	
1664	1813	1462	1613	1551	
1585	1825	1471	1503	1616	
1605	1848	1440	1506	1593	
1591	1876	1482	1477	1536	
1602	1775	1464	1549	1527	
1624	1791	1448	1485	1528	
1631	1809	1467	1540	1576	
1693	1880	1534	1602	1618	
1660	1864	1468	1597	1608	
1587	1847	1526	1577	1625	
1703	1907	1593	1578	1560	
1723	1954	1587	1648	1620	
1694	1870	1626	1569	1599	
1698	1890	1605	1632	1623	
1759	1941	1607	1639	1686	
1786	2059	1626	1549	1669	
1689	1928	1624	1563	1674	
1854	2054	1659	1627	1719	
1825	1927	1666	1653	1784	
1886	2027	1637	1677	1647	
96	90	92	69	84	
0	0	0	0	0	
